python_function_body,triton_kernel_body
"return torch.minimum(x, y)","pid = tl.program_id(axis=0)
    offsets = pid * BLOCK_SIZE + tl.arange(0, BLOCK_SIZE)
    mask = offsets < num_elements
    x = tl.load(x_ptr + offsets, mask=mask)
    y = tl.load(y_ptr + offsets, mask=mask)
    result = tl.minimum(x, y)
    tl.store(output_ptr + offsets, result, mask=mask)"
"arange_tensor = torch.arange(start, end, dtype=torch.float32)
    reshaped_tensor = arange_tensor.reshape(shape)
    result_tensor = torch.exp(reshaped_tensor)","pid = tl.program_id(axis=0)
    offsets = pid * BLOCK_SIZE + tl.arange(0, BLOCK_SIZE)
    mask = offsets < num_elements
    arange_vals = start_val + offsets
    exp_vals = tl.exp(arange_vals.to(tl.float32))
    tl.store(output_ptr + offsets, exp_vals, mask=mask)"
"return torch.full(shape, fill_value).broadcast_to(broadcast_shape)","pid = tl.program_id(axis=0)
    offsets = pid * BLOCK_SIZE + tl.arange(0, BLOCK_SIZE)
    mask = offsets < num_elements
    tl.store(output_ptr + offsets, fill_value, mask=mask)"
return torch.sqrt(x),"pid = tl.program_id(axis=0)
    offsets = pid * BLOCK_SIZE + tl.arange(0, BLOCK_SIZE)
    mask = offsets < num_elements
    x = tl.load(x_ptr + offsets, mask=mask)
    result = tl.sqrt(x)
    tl.store(output_ptr + offsets, result, mask=mask)"
return torch.randn(shape),"pid = tl.program_id(axis=0)
    offsets = pid * BLOCK_SIZE + tl.arange(0, BLOCK_SIZE)
    mask = offsets < num_elements
    random_vals = tl.randn(seed, offsets)
    tl.store(output_ptr + offsets, random_vals, mask=mask)"
"return torch.full(shape, fill_value)","pid = tl.program_id(axis=0)
    offsets = pid * BLOCK_SIZE + tl.arange(0, BLOCK_SIZE)
    mask = offsets < num_elements
    tl.store(output_ptr + offsets, fill_value, mask=mask)"
"return torch.maximum(x, torch.minimum(y, z))","pid = tl.program_id(axis=0)
    offsets = pid * BLOCK_SIZE + tl.arange(0, BLOCK_SIZE)
    mask = offsets < num_elements
    x = tl.load(x_ptr + offsets, mask=mask)
    y = tl.load(y_ptr + offsets, mask=mask)
    z = tl.load(z_ptr + offsets, mask=mask)
    min_yz = tl.minimum(y, z)
    max_x_min_yz = tl.maximum(x, min_yz)
    tl.store(output_ptr + offsets, max_x_min_yz, mask=mask)"
return torch.sqrt(torch.sigmoid(x)),"pid = tl.program_id(axis=0)
    offsets = pid * BLOCK_SIZE + tl.arange(0, BLOCK_SIZE)
    mask = offsets < num_elements
    x = tl.load(x_ptr + offsets, mask=mask)
    sigmoid_x = tl.sigmoid(x)
    sqrt_sigmoid_x = tl.sqrt(sigmoid_x)
    tl.store(output_ptr + offsets, sqrt_sigmoid_x, mask=mask)"
return torch.sin(x),"pid = tl.program_id(axis=0)
    offsets = pid * BLOCK_SIZE + tl.arange(0, BLOCK_SIZE)
    mask = offsets < num_elements
    x = tl.load(x_ptr + offsets, mask=mask)
    result = tl.sin(x)
    tl.store(output_ptr + offsets, result, mask=mask)"
y = torch.sigmoid(x),"pid = tl.program_id(axis=0)
    offsets = pid * BLOCK_SIZE + tl.arange(0, BLOCK_SIZE)
    mask = offsets < n_elements
    
    x = tl.load(input_ptr + offsets, mask=mask)
    result = tl.sigmoid(x)
    tl.store(output_ptr + offsets, result, mask=mask)"
return torch.zeros_like(x),"pid = tl.program_id(axis=0)
    offsets = pid * BLOCK_SIZE + tl.arange(0, BLOCK_SIZE)
    mask = offsets < num_elements
    tl.store(output_ptr + offsets, 0, mask=mask)"
"return torch.clamp(x, min_val, max_val)","pid = tl.program_id(axis=0)
    offsets = pid * BLOCK_SIZE + tl.arange(0, BLOCK_SIZE)
    mask = offsets < num_elements
    x = tl.load(x_ptr + offsets, mask=mask)
    result = tl.maximum(min_val, tl.minimum(x, max_val))
    tl.store(output_ptr + offsets, result, mask=mask)"
return (x + div - 1) // div,"pid = tl.program_id(axis=0)
    offsets = pid * BLOCK_SIZE + tl.arange(0, BLOCK_SIZE)
    mask = offsets < num_elements
    x = tl.load(x_ptr + offsets, mask=mask)
    div = tl.load(div_ptr + offsets, mask=mask)
    result = tl.cdiv(x, div)
    tl.store(output_ptr + offsets, result, mask=mask)"
